Post ID,Platform,Post Date,Content Type,Impressions,Reach,Likes,Comments,Shares,Engagement Rate %,Engagement Rate,Content Type,Total Shares,Engagement Rate
POST-60019,Instagram,08/07/2024,Image,"46,840","31,199","1,992",297,285,8.25%,5.50%,,,
POST-60020,Facebook,07/23/2025,Text,"1,778",615,27,6,9,6.83%,2.36%,,,
POST-60021,TikTok,04/23/2025,Reel,"156,565","91,504","7,976","1,007","2,374",12.41%,7.25%,,,
POST-60022,Facebook,08/30/2024,Carousel,"24,262","14,375",505,155,275,6.50%,3.85%,,,
POST-60023,LinkedIn,11/07/2025,Text,"6,057","4,215",74,65,43,4.32%,3.00%,,,
POST-60024,Facebook,11/15/2025,Text,"28,124","17,131",645,158,506,7.64%,4.65%,,,
POST-60025,LinkedIn,10/14/2024,Image,"17,059","11,269",423,68,34,4.66%,3.08%,,,
POST-60026,Twitter,09/09/2025,Text,"5,218","3,851",42,14,46,2.65%,1.95%,,,
POST-60027,TikTok,01/20/2024,Reel,"343,265","129,653","5,453",924,"4,580",8.45%,3.19%,,,
POST-60028,TikTok,01/20/2024,Video,"272,700","129,585","15,140","1,162","5,661",16.95%,8.05%,,,
POST-60029,Instagram,07/18/2025,Image,"3,041","1,504",44,5,5,3.59%,1.78%,,,
POST-60030,TikTok,11/04/2024,Video,"458,030","177,152","5,638","1,481","8,257",8.68%,3.36%,,,
POST-60031,Instagram,09/25/2025,Image,"35,777","21,884",534,93,46,3.08%,1.88%,,,
POST-60032,Facebook,07/01/2025,Text,"15,233","10,461",106,82,289,4.56%,3.13%,,,
POST-60033,Facebook,11/10/2024,Video,"47,861","33,077",457,612,666,5.25%,3.63%,,,
POST-60034,LinkedIn,12/16/2024,Video,"31,340","20,034",370,402,184,4.77%,3.05%,,,
POST-60035,Instagram,12/22/2025,Image,"39,118","25,411",830,287,240,5.34%,3.47%,,,
POST-60036,TikTok,04/13/2025,Reel,"24,021","8,915","1,051",243,176,16.49%,6.12%,,,
POST-60037,TikTok,05/19/2025,Reel,"366,792","130,891","14,527","2,483","3,148",15.40%,5.50%,,,
POST-60038,TikTok,09/28/2024,Video,"326,182","168,420","17,736","4,345","7,499",17.56%,9.07%,,,
POST-60039,LinkedIn,03/22/2025,Carousel,735,520,21,3,6,5.77%,4.08%,,,
POST-60040,TikTok,02/02/2025,Reel,"397,172","241,369","19,478","5,480","7,454",13.43%,8.16%,,,
POST-60041,Twitter,01/03/2025,Text,"22,792","13,157",279,61,86,3.24%,1.87%,,,
POST-60042,Facebook,11/30/2025,Image,"22,661","9,101",303,110,175,6.46%,2.59%,,,
POST-60043,Facebook,11/04/2025,Video,"55,310","30,993",966,175,514,5.34%,2.99%,,,
POST-60044,Instagram,02/25/2025,Video,"105,049","62,960","3,277",753,200,6.72%,4.03%,,,
POST-60045,Instagram,07/13/2025,Video,"29,553","16,717","1,298",96,129,9.11%,5.15%,,,
POST-60046,Twitter,10/23/2024,Video,"58,726","49,490",634,70,706,2.85%,2.40%,,,
POST-60047,TikTok,11/11/2025,Reel,"117,780","53,877","4,497",412,"1,324",11.57%,5.29%,,,
POST-60048,TikTok,12/03/2024,Reel,"457,636","222,209","17,827","2,665","9,391",13.45%,6.53%,,,
POST-60049,Twitter,09/17/2025,Image,"13,316","10,584",223,53,99,3.54%,2.82%,,,
POST-60050,LinkedIn,10/09/2025,Image,"8,646","6,027",352,138,88,9.59%,6.69%,,,
POST-60051,Instagram,07/29/2025,Image,"13,675","7,920",168,41,8,2.74%,1.59%,,,
POST-60052,Twitter,06/02/2024,Video,"48,287","41,966",528,282,724,3.66%,3.18%,,,
POST-60053,Instagram,03/14/2025,Reel,"117,992","57,025","2,223",246,506,5.22%,2.52%,,,
POST-60054,TikTok,07/01/2025,Reel,"506,642","174,546","6,615","4,959","4,706",9.33%,3.21%,,,
POST-60055,Instagram,08/25/2024,Carousel,"69,218","32,641","2,526",238,142,8.90%,4.20%,,,
POST-60056,LinkedIn,05/25/2025,Carousel,"14,531","8,760",299,123,119,6.18%,3.72%,,,
POST-60057,Instagram,09/23/2025,Reel,"8,393","4,428",318,23,9,7.90%,4.17%,,,
POST-60058,Instagram,01/02/2024,Carousel,"77,758","53,039","4,006",345,272,8.72%,5.95%,,,
POST-60059,Twitter,12/15/2025,Text,"5,028","3,861",103,29,12,3.73%,2.86%,,,
POST-60060,TikTok,10/27/2025,Video,"168,937","114,463","9,826","1,326","4,902",14.03%,9.50%,,,
POST-60061,Instagram,06/15/2025,Video,"93,930","59,514","3,659",610,342,7.75%,4.91%,,,
POST-60062,Instagram,02/08/2025,Carousel,"5,838","4,002",204,10,26,6.00%,4.11%,,,
POST-60063,Instagram,07/08/2024,Carousel,"37,520","22,934","1,461",213,55,7.54%,4.61%,,,
POST-60064,TikTok,03/29/2024,Reel,"71,516","27,664","3,172",660,436,15.43%,5.97%,,,
POST-60065,TikTok,05/21/2025,Video,"299,132","161,505","7,593","4,816","6,033",11.42%,6.17%,,,
POST-60066,Twitter,11/01/2025,Text,"8,127","5,127",50,10,43,2.01%,1.27%,,,
POST-60067,TikTok,07/12/2024,Video,"407,702","147,642","12,661","1,316","6,009",13.54%,4.90%,,,
POST-60068,TikTok,01/11/2025,Reel,"535,523","341,530","38,740","3,884","4,175",13.70%,8.74%,,,
POST-60069,LinkedIn,04/16/2025,Video,"15,843","11,545",269,263,53,5.07%,3.69%,,,
POST-60070,Twitter,07/02/2025,Image,"11,965","10,699",275,46,197,4.84%,4.33%,,,
POST-60071,LinkedIn,04/06/2025,Text,"11,571","6,047",288,49,37,6.18%,3.23%,,,
POST-60072,Facebook,11/25/2024,Video,"15,181","6,189",90,103,156,5.64%,2.30%,,,
POST-60073,Facebook,01/29/2024,Carousel,"5,673","3,035",54,12,27,3.06%,1.64%,,,
POST-60074,TikTok,09/26/2024,Reel,"262,599","95,367","6,417","2,040","4,153",13.22%,4.80%,,,
POST-60075,Twitter,09/07/2024,Image,"12,143","9,572",258,64,64,4.03%,3.18%,,,
POST-60076,TikTok,09/03/2024,Reel,"358,986","121,792","12,616","1,536","3,892",14.82%,5.03%,,,
POST-60077,Facebook,04/10/2024,Image,"12,649","4,990",212,24,37,5.47%,2.16%,,,
POST-60078,Instagram,04/01/2025,Reel,"92,618","58,170","4,526",868,347,9.87%,6.20%,,,
POST-60079,Twitter,06/11/2024,Video,"49,374","41,354",251,250,595,2.65%,2.22%,,,
POST-60080,LinkedIn,01/23/2025,Video,"36,161","22,731","1,346",473,253,9.12%,5.73%,,,
POST-60081,Twitter,01/17/2024,Video,"70,967","61,447","1,623",138,"1,036",4.55%,3.94%,,,
POST-60082,Facebook,03/24/2025,Image,"21,460","12,765",573,242,64,6.89%,4.10%,,,
POST-60083,Facebook,02/25/2025,Video,"50,767","17,586",337,281,435,5.99%,2.07%,,,
POST-60084,LinkedIn,08/19/2024,Carousel,"9,624","6,496",165,56,58,4.29%,2.90%,,,
POST-60085,Twitter,12/09/2024,Video,"50,240","38,491",836,168,463,3.81%,2.92%,,,
POST-60086,Instagram,06/07/2024,Image,"17,356","10,644",477,126,65,6.28%,3.85%,,,
POST-60087,LinkedIn,08/20/2024,Text,"5,440","4,035",103,98,34,5.82%,4.32%,,,
POST-60088,Instagram,03/28/2024,Carousel,"68,920","34,748","2,339",434,36,8.08%,4.08%,,,
POST-60089,LinkedIn,08/13/2024,Text,"19,972","13,031",383,276,135,6.09%,3.98%,,,
POST-60090,TikTok,05/26/2024,Video,"108,139","43,173","3,561",848,"1,411",13.48%,5.38%,,,
POST-60091,Twitter,10/19/2024,Image,"22,108","18,514",138,80,329,2.95%,2.47%,,,
POST-60092,Facebook,06/16/2024,Text,"16,372","9,996",372,58,61,4.91%,3.00%,,,
POST-60093,Instagram,05/29/2025,Video,"108,397","45,181","2,296",626,421,7.40%,3.08%,,,
POST-60094,LinkedIn,09/13/2024,Image,"16,567","12,618",349,104,139,4.69%,3.57%,,,
POST-60095,TikTok,09/28/2024,Reel,"96,621","45,052","4,307","1,057",849,13.79%,6.43%,,,
POST-60096,TikTok,03/07/2024,Video,"296,961","112,674","12,300","3,354","3,770",17.24%,6.54%,,,
POST-60097,TikTok,07/06/2025,Video,"119,866","69,857","6,445",892,919,11.82%,6.89%,,,
POST-60098,Instagram,11/19/2024,Image,"33,648","13,791","1,062",30,110,8.72%,3.57%,,,
POST-60099,Instagram,12/11/2024,Video,"77,225","48,408","1,691",561,407,5.49%,3.44%,,,
POST-60100,Twitter,01/18/2024,Image,730,373,10,1,6,4.56%,2.33%,,,
POST-60101,TikTok,09/03/2024,Video,"302,206","106,795","4,379",816,"3,171",7.83%,2.77%,,,
POST-60102,TikTok,04/21/2025,Video,"543,651","205,850","6,711","4,743","10,070",10.46%,3.96%,,,
POST-60103,LinkedIn,06/30/2025,Image,"11,879","5,122",249,90,30,7.20%,3.11%,,,
POST-60104,Instagram,12/11/2025,Video,"42,983","19,797",673,154,68,4.52%,2.08%,,,
POST-60105,LinkedIn,07/22/2025,Video,"5,423","3,771",221,71,53,9.15%,6.36%,,,
POST-60106,Instagram,02/11/2024,Image,"27,596","16,651","1,185",71,90,8.08%,4.88%,,,
POST-60107,TikTok,12/01/2024,Video,"175,808","61,551","3,980",950,"2,381",11.88%,4.16%,,,
POST-60108,Instagram,01/20/2025,Reel,"49,085","21,307",817,259,178,5.89%,2.55%,,,
POST-60109,Instagram,09/19/2025,Video,"32,982","18,147","1,001",187,159,7.42%,4.08%,,,
POST-60110,Instagram,08/20/2024,Reel,"36,143","17,997",645,44,131,4.56%,2.27%,,,
POST-60111,Facebook,04/08/2025,Carousel,"26,260","17,369",250,343,159,4.33%,2.86%,,,
POST-60112,TikTok,09/17/2025,Reel,"380,871","249,854","26,712","4,443","10,913",16.84%,11.05%,,,
POST-60113,Facebook,05/31/2025,Text,"8,059","5,232",140,62,132,6.38%,4.14%,,,
POST-60114,Twitter,05/30/2024,Text,"5,867","4,500",57,11,73,3.13%,2.40%,,,
POST-60115,TikTok,01/25/2025,Reel,"257,439","156,287","17,587","3,960","1,772",14.92%,9.06%,,,
POST-60116,TikTok,03/31/2024,Reel,"280,763","124,724","6,383","1,762","3,138",9.05%,4.02%,,,
POST-60117,Twitter,09/01/2025,Video,"29,237","21,836",581,110,190,4.03%,3.01%,,,
POST-60118,Facebook,01/18/2024,Text,"7,249","4,321",145,56,95,6.85%,4.08%,,,
POST-60119,LinkedIn,06/24/2024,Carousel,424,266,11,2,3,6.02%,3.77%,,,
POST-60120,TikTok,02/03/2025,Video,"291,125","91,396","4,316","1,826","1,395",8.25%,2.59%,,,
POST-60121,Facebook,03/15/2024,Image,"21,641","12,865",370,188,233,6.15%,3.66%,,,
POST-60122,Facebook,12/17/2024,Text,"20,634","13,640",631,183,195,7.40%,4.89%,,,
POST-60123,TikTok,08/03/2024,Reel,"75,797","46,050","5,250",887,628,14.69%,8.93%,,,
POST-60124,Instagram,11/19/2024,Carousel,"68,263","30,619","1,958",353,216,8.25%,3.70%,,,
POST-60125,Twitter,03/07/2024,Image,"11,209","9,067",126,19,107,2.78%,2.25%,,,
POST-60126,TikTok,12/17/2024,Video,"23,196","7,460",333,134,295,10.21%,3.29%,,,
POST-60127,Instagram,12/07/2024,Reel,"94,201","59,848","4,419",348,219,8.33%,5.29%,,,
POST-60128,TikTok,08/21/2025,Video,"367,485","118,114","13,007","2,010","5,699",17.54%,5.64%,,,
POST-60129,Facebook,06/01/2024,Video,"29,086","14,164",381,114,211,4.98%,2.43%,,,
POST-60130,TikTok,06/22/2025,Reel,"340,086","198,003","13,799","1,575","5,883",10.74%,6.25%,,,
POST-60131,LinkedIn,09/07/2024,Video,"32,142","17,934",817,213,215,6.94%,3.87%,,,
POST-60132,TikTok,02/23/2024,Reel,"30,650","14,347",899,289,194,9.63%,4.51%,,,
POST-60133,Facebook,05/03/2024,Carousel,"27,037","9,717",154,146,220,5.35%,1.92%,,,
POST-60134,Instagram,03/18/2025,Carousel,"23,100","10,566",602,136,26,7.23%,3.31%,,,
POST-60135,Instagram,12/24/2024,Reel,"16,363","9,124",429,91,81,6.59%,3.67%,,,
POST-60136,TikTok,12/13/2025,Video,"93,162","41,278","2,618",802,"1,648",12.28%,5.44%,,,
POST-60137,Instagram,10/06/2024,Video,"75,048","35,482","1,561",466,297,6.55%,3.10%,,,
POST-60138,Instagram,06/10/2025,Carousel,"44,099","33,605","2,363",226,217,8.35%,6.36%,,,
POST-60139,TikTok,06/29/2024,Reel,"239,851","124,623","9,500","1,981","4,114",12.51%,6.50%,,,
POST-60140,Twitter,09/09/2024,Image,"18,718","16,040",189,56,137,2.38%,2.04%,,,
POST-60141,Instagram,12/30/2024,Carousel,"22,710","16,442",899,209,93,7.30%,5.29%,,,
POST-60142,TikTok,06/27/2025,Video,"334,929","222,057","14,562","6,577","7,722",13.00%,8.62%,,,
POST-60143,TikTok,06/14/2024,Video,"116,642","66,958","3,056","1,891","2,501",11.12%,6.39%,,,
POST-60144,TikTok,01/24/2025,Reel,"343,312","126,762","4,561","2,281","3,281",7.99%,2.95%,,,
POST-60145,Twitter,07/20/2025,Text,"15,197","10,245",111,65,105,2.74%,1.85%,,,
POST-60146,TikTok,04/07/2025,Video,"293,856","123,520","6,174","1,311","1,917",7.61%,3.20%,,,
POST-60147,Instagram,12/26/2024,Video,"5,511","2,621",175,25,9,7.97%,3.79%,,,
POST-60148,Facebook,08/07/2025,Image,"27,066","18,125",364,293,456,6.14%,4.11%,,,
POST-60149,Facebook,12/11/2025,Video,"19,890","12,829",147,175,230,4.30%,2.78%,,,
POST-60150,Facebook,06/24/2024,Image,"25,081","8,094",155,161,189,6.24%,2.01%,,,
POST-60151,Instagram,07/21/2024,Reel,"104,239","49,276","2,773",500,483,7.62%,3.60%,,,
POST-60152,TikTok,12/17/2024,Reel,"384,927","135,945","7,052","2,759","4,351",10.42%,3.68%,,,
POST-60153,Facebook,11/15/2025,Video,"20,119","13,193",271,254,155,5.15%,3.38%,,,
POST-60154,LinkedIn,08/29/2025,Text,"3,246","1,680",39,16,14,4.11%,2.13%,,,
POST-60155,TikTok,07/16/2024,Reel,"30,091","18,661","1,810",174,701,14.39%,8.92%,,,
POST-60156,LinkedIn,09/20/2025,Text,"11,667","9,170",448,211,67,7.92%,6.22%,,,
POST-60157,TikTok,05/01/2025,Video,"194,808","132,787","13,497","2,076","2,239",13.41%,9.14%,,,
POST-60158,TikTok,08/27/2025,Video,"408,495","221,297","8,945","1,490","6,381",7.60%,4.12%,,,
POST-60159,Instagram,05/07/2024,Reel,"26,303","16,607","1,319",207,60,9.55%,6.03%,,,
POST-60160,LinkedIn,06/27/2024,Carousel,"11,727","5,198",254,119,37,7.89%,3.50%,,,
POST-60161,Twitter,12/04/2025,Image,471,276,7,0,4,3.99%,2.34%,,,
POST-60162,LinkedIn,01/01/2024,Carousel,"20,026","11,416",469,208,165,7.38%,4.20%,,,
POST-60163,Instagram,08/25/2025,Image,"20,181","15,435",573,160,74,5.23%,4.00%,,,
POST-60164,Instagram,04/07/2024,Carousel,"36,009","28,102","1,365",80,71,5.39%,4.21%,,,
POST-60165,LinkedIn,04/25/2024,Video,"10,578","6,946",278,44,34,5.13%,3.37%,,,
POST-60166,Instagram,05/06/2025,Video,"48,103","24,178","1,342",354,139,7.59%,3.81%,,,
POST-60167,Twitter,12/10/2025,Video,"14,655","13,078",388,44,81,3.92%,3.50%,,,
POST-60168,TikTok,01/08/2025,Reel,"93,884","52,756","2,125",990,867,7.55%,4.24%,,,
POST-60169,Instagram,10/08/2024,Carousel,"45,076","24,828","1,520",249,162,7.78%,4.28%,,,
POST-60170,Twitter,03/27/2024,Video,"35,635","27,103",465,39,100,2.23%,1.69%,,,
POST-60171,Instagram,10/10/2024,Image,"15,434","11,400",714,76,13,7.04%,5.20%,,,
POST-60172,Facebook,05/13/2024,Image,"21,321","12,342",176,153,231,4.54%,2.63%,,,
POST-60173,Facebook,10/30/2025,Video,"22,187","9,633",204,37,93,3.47%,1.51%,,,
POST-60174,Twitter,02/19/2025,Image,"9,378","7,167",190,7,96,4.09%,3.12%,,,
POST-60175,Instagram,07/08/2025,Carousel,"44,531","34,397","1,578",81,227,5.48%,4.24%,,,
POST-60176,LinkedIn,09/07/2024,Image,"1,833","1,213",42,12,13,5.52%,3.66%,,,
POST-60177,TikTok,04/29/2025,Video,"163,262","69,262","4,425","1,354","2,216",11.54%,4.90%,,,
POST-60178,LinkedIn,11/05/2025,Image,"10,011","7,004",264,137,44,6.35%,4.45%,,,
POST-60179,Twitter,03/10/2025,Text,"6,937","4,808",91,22,73,3.87%,2.68%,,,
POST-60180,Instagram,11/27/2025,Carousel,"13,744","6,665",229,76,38,5.15%,2.50%,,,
POST-60181,Instagram,06/07/2025,Video,"109,761","67,645","2,000",322,89,3.56%,2.20%,,,
POST-60182,Facebook,08/21/2024,Text,"19,511","5,968",204,25,111,5.70%,1.74%,,,
POST-60183,Instagram,03/06/2024,Reel,"44,075","26,842",936,58,224,4.54%,2.76%,,,
POST-60184,TikTok,07/01/2025,Reel,"430,687","221,165","19,145","1,539","8,164",13.04%,6.70%,,,
POST-60185,TikTok,02/26/2024,Video,"180,438","122,609","11,422","3,176","4,525",15.60%,10.60%,,,
POST-60186,LinkedIn,01/18/2025,Text,"14,797","8,621",192,168,35,4.58%,2.67%,,,
POST-60187,TikTok,01/17/2024,Video,"69,757","40,862","3,206","1,150","1,599",14.57%,8.54%,,,
POST-60188,Instagram,05/24/2025,Video,"38,300","28,274",777,327,100,4.26%,3.14%,,,
POST-60189,Instagram,05/09/2025,Video,"81,586","63,381","4,259",802,173,8.26%,6.42%,,,
POST-60190,TikTok,07/15/2024,Video,"97,177","52,716","5,662",309,"1,859",14.85%,8.06%,,,
POST-60191,LinkedIn,10/05/2025,Video,"18,258","9,480",373,131,52,5.86%,3.05%,,,
POST-60192,TikTok,11/08/2025,Reel,"157,187","56,359","4,523","1,286","2,163",14.15%,5.07%,,,
POST-60193,LinkedIn,05/13/2024,Text,"8,356","3,947",209,94,34,8.54%,4.03%,,,
POST-60194,Instagram,08/27/2024,Image,"34,583","25,017","1,675",194,169,8.15%,5.89%,,,
POST-60195,Instagram,10/22/2024,Carousel,"36,439","25,902","1,663",143,169,7.62%,5.42%,,,
POST-60196,Instagram,02/01/2025,Carousel,"50,268","32,640","1,559",313,34,5.84%,3.79%,,,
POST-60197,TikTok,07/03/2025,Video,"185,050","80,995","6,766","1,185","3,765",14.47%,6.33%,,,
POST-60198,TikTok,11/20/2024,Reel,"8,500","3,932",269,68,68,10.30%,4.76%,,,
POST-60199,TikTok,03/19/2024,Reel,"91,908","52,531","3,626","1,542",682,11.14%,6.37%,,,
POST-60200,TikTok,11/25/2024,Reel,"413,749","151,849","8,225","3,789","6,535",12.22%,4.48%,,,
POST-60201,TikTok,06/29/2025,Reel,"9,232","5,820",537,83,63,11.74%,7.40%,,,
POST-60202,LinkedIn,12/10/2024,Image,"11,698","6,309",309,75,89,7.50%,4.04%,,,
POST-60203,TikTok,07/28/2025,Reel,"224,484","155,989","12,346",838,"2,127",9.82%,6.82%,,,
POST-60204,TikTok,12/13/2025,Reel,"199,572","69,186","2,368",369,841,5.17%,1.79%,,,
POST-60205,LinkedIn,01/16/2025,Text,"4,192","2,166",35,19,15,3.19%,1.65%,,,
POST-60206,Twitter,08/28/2025,Image,411,283,2,2,4,2.83%,1.95%,,,
POST-60207,TikTok,01/22/2024,Video,"317,455","177,637","10,516","4,747","5,219",11.53%,6.45%,,,
POST-60208,Twitter,06/25/2024,Text,"23,747","13,149",283,76,215,4.37%,2.42%,,,
POST-60209,TikTok,12/16/2025,Video,"272,386","146,612","6,631","1,981","1,699",7.03%,3.79%,,,
POST-60210,Instagram,08/10/2024,Carousel,"20,635","14,246",412,41,94,3.84%,2.65%,,,
POST-60211,TikTok,05/10/2024,Video,"512,834","214,531","20,672","2,667","9,009",15.08%,6.31%,,,
POST-60212,Instagram,04/10/2024,Video,"81,281","55,901","3,726",831,268,8.63%,5.94%,,,
POST-60213,LinkedIn,06/09/2025,Image,"9,256","6,568",314,111,79,7.67%,5.45%,,,
POST-60214,LinkedIn,08/21/2024,Image,"19,703","15,340",703,148,216,6.96%,5.42%,,,
POST-60215,Instagram,08/07/2025,Carousel,"55,527","38,154","2,627",441,77,8.24%,5.66%,,,
POST-60216,Instagram,10/11/2025,Image,"2,387","1,855",38,17,11,3.56%,2.76%,,,
POST-60217,Instagram,02/08/2024,Video,"84,477","42,276","1,552",374,331,5.34%,2.67%,,,
POST-60218,Instagram,01/21/2024,Video,"21,725","10,248",233,103,87,4.13%,1.95%,,,
POST-60219,LinkedIn,10/19/2024,Video,"19,152","8,690",181,50,69,3.45%,1.57%,,,
POST-60220,Instagram,12/01/2024,Reel,"69,366","28,833",797,111,260,4.05%,1.68%,,,
POST-60221,TikTok,12/23/2025,Video,"309,128","121,115","6,789","2,965","5,670",12.74%,4.99%,,,
POST-60222,Instagram,08/15/2025,Carousel,"35,463","16,917",948,107,99,6.82%,3.25%,,,
POST-60223,TikTok,07/29/2024,Reel,"346,346","130,370","12,843","1,781","5,513",15.45%,5.81%,,,
POST-60224,Facebook,11/03/2024,Image,"1,243",485,24,9,9,8.66%,3.38%,,,
POST-60225,TikTok,03/08/2024,Reel,"67,913","33,045","2,727",402,"1,198",13.09%,6.37%,,,
POST-60226,Instagram,11/14/2024,Image,"22,677","15,868",334,211,112,4.14%,2.90%,,,
POST-60227,Instagram,05/07/2024,Reel,"69,409","48,074","1,798",526,444,5.76%,3.99%,,,
POST-60228,Instagram,09/28/2025,Reel,"84,665","39,276","2,976",361,291,9.24%,4.29%,,,
POST-60229,Instagram,09/29/2024,Video,"69,804","44,744","2,608",114,104,6.32%,4.05%,,,
POST-60230,LinkedIn,12/12/2025,Image,"12,708","7,249",182,120,98,5.52%,3.15%,,,
POST-60231,Instagram,06/14/2025,Reel,"25,969","19,451","1,525",137,120,9.16%,6.86%,,,
POST-60232,Facebook,01/02/2024,Text,"24,835","13,405",446,139,131,5.34%,2.88%,,,
POST-60233,Instagram,10/06/2025,Video,"69,623","43,901","2,257",589,45,6.59%,4.15%,,,
POST-60234,Instagram,02/03/2025,Carousel,"36,545","18,868",832,167,73,5.68%,2.93%,,,
POST-60235,Facebook,03/18/2025,Video,"12,513","4,472",199,36,127,8.09%,2.89%,,,
POST-60236,Facebook,01/14/2024,Carousel,"33,475","17,487",781,61,302,6.54%,3.42%,,,
POST-60237,Facebook,12/29/2024,Carousel,"32,149","17,932",199,219,496,5.10%,2.84%,,,
POST-60238,Facebook,07/27/2025,Video,"59,311","38,645","1,427",178,"1,097",6.99%,4.56%,,,
POST-60239,Twitter,03/18/2025,Image,"6,650","4,450",88,29,30,3.30%,2.21%,,,
POST-60240,Facebook,05/14/2025,Carousel,"1,657","1,073",37,10,23,6.52%,4.22%,,,
POST-60241,TikTok,06/02/2024,Video,"108,505","70,144","2,978","1,107","2,855",9.89%,6.40%,,,
POST-60242,Instagram,06/22/2024,Carousel,"51,565","36,906","2,329",388,296,8.16%,5.84%,,,
POST-60243,TikTok,12/07/2025,Video,"178,037","88,521","6,409","1,924","3,605",13.49%,6.71%,,,
POST-60244,TikTok,01/13/2024,Reel,"113,603","66,263","2,835","1,732","2,443",10.58%,6.17%,,,
POST-60245,TikTok,02/20/2025,Video,"412,062","210,624","18,048","5,421","5,811",13.90%,7.11%,,,
POST-60246,TikTok,11/11/2025,Reel,"167,258","105,559","7,139","1,753","3,165",11.42%,7.21%,,,
POST-60247,Facebook,05/22/2024,Image,"8,453","2,744",70,52,61,6.67%,2.16%,,,
POST-60248,Facebook,03/25/2024,Image,"11,670","7,549",83,121,183,5.13%,3.32%,,,
POST-60249,Instagram,03/06/2024,Reel,"50,804","33,333","1,967",113,54,6.40%,4.20%,,,
POST-60250,Twitter,03/10/2024,Text,"19,570","15,268",93,58,43,1.27%,0.99%,,,
POST-60251,Instagram,10/30/2025,Reel,"25,198","11,732",764,64,115,8.04%,3.74%,,,
POST-60252,LinkedIn,05/20/2025,Carousel,"1,247",713,24,16,6,6.45%,3.69%,,,
POST-60253,Instagram,09/30/2025,Carousel,"46,649","19,555","1,372",213,143,8.84%,3.70%,,,
POST-60254,Instagram,08/19/2025,Image,"35,125","22,571","1,746",128,225,9.30%,5.98%,,,
POST-60255,TikTok,08/25/2024,Reel,"11,249","7,065",364,173,155,9.79%,6.15%,,,
POST-60256,Facebook,11/03/2025,Text,"24,441","10,879",337,202,75,5.64%,2.51%,,,
POST-60257,LinkedIn,09/29/2025,Video,"2,648","1,347",49,14,17,5.94%,3.02%,,,
POST-60258,Facebook,10/10/2024,Text,"8,413","5,885",210,45,95,5.95%,4.16%,,,
POST-60259,Instagram,07/18/2024,Reel,"87,465","46,191","2,314",107,330,5.96%,3.15%,,,
POST-60260,TikTok,10/30/2024,Video,"238,988","75,452","6,979","1,303","1,839",13.41%,4.23%,,,
POST-60261,LinkedIn,01/28/2025,Image,"10,739","6,660",385,43,74,7.54%,4.67%,,,
POST-60262,Instagram,03/14/2025,Image,"13,057","9,506",650,89,25,8.04%,5.85%,,,
POST-60263,Facebook,12/09/2025,Image,"27,725","17,999",349,231,427,5.59%,3.63%,,,
POST-60264,Instagram,03/14/2025,Carousel,"57,682","44,434","1,003",262,289,3.50%,2.69%,,,
POST-60265,Twitter,07/03/2024,Video,"17,139","9,843",52,36,177,2.69%,1.55%,,,
POST-60266,TikTok,06/09/2025,Reel,"189,115","82,786","9,495",717,"2,947",15.90%,6.96%,,,
POST-60267,Instagram,07/27/2024,Image,"44,207","32,862",803,386,318,4.59%,3.41%,,,
